FICHA,CODIGO_PROGRAMA,PROGRAMA,NIVEL_FORMACION,FECHA_INICIO_FICHA,FECHA_FIN_FICHA,AÑO_APERTURA,MES_APERTURA,TRIMESTRE_APERTURA,DURACION_MAXIMA,DURACION_ETAPA_LECTIVA,DURACION_ETAPA_PRODUCTIVA,JORNADA,LINEA_TECNOLOGICA,TECNOLOGICA_DE_RED,PROGRAMA_ESPECIAL,AMPLIACION_COBERTURA,CONVENIO,ESTADO_FICHA,CUPO,TOTAL_MATRICULADOS,OCUPACION_CUPO,EN_TRANSITO,INDUCCION,FORMACION,CONDICIONADO,APLAZADO,RETIRO_VOLUNTARIO,CANCELADO,DESERCION_VIRT_COMP,CANCELAMIENTO_VIRT_COMP,POR_CERTIFICAR,CERTIFICADO,TRASLADADO,OTRO,TOTAL_DESERCION,TASA_DESERCION,TASA_CERTIFICACION
2911009,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2024-02-12,2025-12-15,2024,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,Terminada por fecha,33,31,0.9394,0,0,1,0,0,7,0,0,0,2,19,2,0,7,0.2258,0.6129
2911010,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2024-02-12,2025-12-15,2024,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,Terminada,33,29,0.8788,0,0,0,0,0,9,0,0,0,4,16,0,0,9,0.3103,0.5517
2911017,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2024-02-12,2025-12-15,2024,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,Terminada,33,22,0.6667,0,0,0,0,0,12,0,0,0,2,8,0,0,12,0.5455,0.3636
2911026,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2024-02-12,2025-12-15,2024,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,Terminada,40,40,1.0,0,0,0,0,0,23,0,0,0,0,17,0,0,23,0.575,0.425
3066422,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2024-10-15,2026-03-08,2024,10,4,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,25,24,0.96,0,0,5,0,0,1,14,0,0,1,3,0,0,15,0.625,0.125
3151790,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2025-02-17,2026-11-30,2025,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,En ejecucion,38,37,0.9737,0,0,34,0,0,2,0,0,0,0,0,1,0,2,0.0541,0.0
3151805,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2025-02-17,2026-11-30,2025,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,En ejecucion,35,26,0.7429,0,0,25,0,0,1,0,0,0,0,0,0,0,1,0.0385,0.0
3151807,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2025-02-17,2026-11-30,2025,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,En ejecucion,35,23,0.6571,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
3151810,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2025-02-17,2026-11-30,2025,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,En ejecucion,35,28,0.8,0,0,25,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0
3151813,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2025-02-17,2026-11-30,2025,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,En ejecucion,35,30,0.8571,0,0,25,0,0,1,0,0,0,0,0,4,0,1,0.0333,0.0
3151817,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2025-02-17,2026-11-30,2025,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,En ejecucion,35,21,0.6,0,0,18,0,0,2,0,0,0,0,0,1,0,2,0.0952,0.0
3151821,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2025-02-17,2026-11-30,2025,2,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,En ejecucion,35,23,0.6571,0,0,18,0,0,1,0,0,0,0,0,4,0,1,0.0435,0.0
3419398,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2026-03-02,2027-11-30,2026,3,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,En ejecucion,35,19,0.5429,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3419405,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2026-03-02,2027-11-30,2026,3,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,En ejecucion,35,20,0.5714,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3419406,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2026-03-02,2027-11-30,2026,3,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,En ejecucion,35,22,0.6286,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3419412,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2026-03-02,2027-11-30,2026,3,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA,NO,SIN CONVENIO,En ejecucion,35,23,0.6571,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3419415,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2026-03-02,2027-11-30,2026,3,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,En ejecucion,35,33,0.9429,0,0,32,0,0,1,0,0,0,0,0,0,0,1,0.0303,0.0
3419419,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2026-03-02,2027-11-30,2026,3,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,En ejecucion,35,34,0.9714,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3419420,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2026-03-02,2027-11-30,2026,3,1,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA,NO,SIN CONVENIO,En ejecucion,35,29,0.8286,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3494847,134101,ASISTENCIA ADMINISTRATIVA .,TÉCNICO,2026-05-28,2027-08-27,2026,5,2,2208,1344,864,MIXTA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,AULAS ABIERTAS,NO,SIN CONVENIO,En ejecucion,25,25,1.0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2824264,134400,ASISTENCIA EN ORGANIZACION DE ARCHIVOS .,TÉCNICO,2023-10-02,2025-06-17,2023,10,4,2304,1440,864,DIURNA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,30,27,0.9,0,0,1,0,0,3,3,0,0,0,20,0,0,6,0.2222,0.7407
2995966,134400,ASISTENCIA EN ORGANIZACION DE ARCHIVOS .,TÉCNICO,2024-07-08,2025-12-05,2024,7,3,2304,1440,864,DIURNA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,30,30,1.0,0,0,5,0,0,7,5,0,0,1,12,0,0,12,0.4,0.4
2997134,134400,ASISTENCIA EN ORGANIZACION DE ARCHIVOS .,TÉCNICO,2024-07-08,2025-12-04,2024,7,3,2304,1440,864,DIURNA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,Terminada por fecha,35,25,0.7143,0,0,5,2,0,3,7,0,0,1,7,0,0,10,0.4,0.28
3123254,134400,ASISTENCIA EN ORGANIZACION DE ARCHIVOS .,TÉCNICO,2024-11-25,2026-10-11,2024,11,4,2304,1440,864,DIURNA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,En ejecucion,25,24,0.96,0,0,11,0,0,7,6,0,0,0,0,0,0,13,0.5417,0.0
3230336,134400,ASISTENCIA EN ORGANIZACION DE ARCHIVOS .,TÉCNICO,2025-07-25,2027-05-23,2025,7,3,2304,1440,864,DIURNA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,AULAS ABIERTAS,NO,SIN CONVENIO,En ejecucion,25,25,1.0,0,0,17,0,0,1,7,0,0,0,0,0,0,8,0.32,0.0
3230354,134400,ASISTENCIA EN ORGANIZACION DE ARCHIVOS .,TÉCNICO,2025-07-25,2026-12-26,2025,7,3,2304,1440,864,DIURNA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,AULAS ABIERTAS,NO,SIN CONVENIO,En ejecucion,25,25,1.0,0,0,15,0,0,4,6,0,0,0,0,0,0,10,0.4,0.0
2822803,637200,.ATENCION INTEGRAL A LA PRIMERA INFANCIA,TÉCNICO,2023-10-02,2025-04-19,2023,10,4,2208,1344,864,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,25,25,1.0,0,0,2,0,0,4,3,0,0,0,15,1,0,7,0.28,0.6
2822804,637200,.ATENCION INTEGRAL A LA PRIMERA INFANCIA,TÉCNICO,2023-10-02,2025-01-18,2023,10,4,2208,1344,864,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,25,24,0.96,0,0,4,0,0,2,9,0,0,0,9,0,0,11,0.4583,0.375
3066394,637200,.ATENCION INTEGRAL A LA PRIMERA INFANCIA,TÉCNICO,2024-10-15,2026-02-26,2024,10,4,2208,1344,864,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,25,25,1.0,0,0,10,0,0,7,0,0,0,0,8,0,0,7,0.28,0.32
3124151,637200,.ATENCION INTEGRAL A LA PRIMERA INFANCIA,TÉCNICO,2024-11-18,2026-09-28,2024,11,4,2208,1344,864,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,En ejecucion,25,21,0.84,0,0,17,0,0,4,0,0,0,0,0,0,0,4,0.1905,0.0
3313857,637200,.ATENCION INTEGRAL A LA PRIMERA INFANCIA,TÉCNICO,2025-10-09,2027-03-03,2025,10,4,2208,1344,864,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,AULAS ABIERTAS,NO,SIN CONVENIO,En ejecucion,25,25,1.0,0,0,22,0,0,3,0,0,0,0,0,0,0,3,0.12,0.0
2867367,635503,COCINA.,TÉCNICO,2023-11-01,2025-06-07,2023,11,4,2200,1320,880,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS TURÍSTICOS,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,Terminada por fecha,35,24,0.6857,0,0,5,0,0,5,9,0,0,0,5,0,0,14,0.5833,0.2083
2938277,635503,COCINA.,TÉCNICO,2024-03-12,2025-06-12,2024,3,1,2200,1320,880,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS TURÍSTICOS,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,Terminada por fecha,30,21,0.7,0,0,2,4,0,1,14,0,0,0,0,0,0,15,0.7143,0.0
3148914,635503,COCINA.,TÉCNICO,2025-02-17,2026-05-17,2025,2,1,2200,1320,880,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS TURÍSTICOS,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,35,22,0.6286,0,0,14,0,0,1,7,0,0,0,0,0,0,8,0.3636,0.0
2918477,222239,CONSERVACION DE RECURSOS NATURALES,TÉCNICO,2024-02-26,2025-12-27,2024,2,1,2200,1320,880,DIURNA,PRODUCCIÓN Y TRANSFORMACIÓN,TECNOLOGÍAS  DE PRODUCCIÓN LIMPIA,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,Terminada,35,23,0.6571,0,0,0,0,0,1,12,0,0,0,10,0,0,13,0.5652,0.4348
2922689,836138,CONSTRUCCION DE EDIFICACIONES,TÉCNICO,2024-04-15,2025-12-20,2024,4,2,2160,1296,864,NOCTURNA,MATERIALES HERRAMIENTAS,MATERIALES PARA LA CONSTRUCCIÓN,NO,NO,CURSOS FIC,Terminada por fecha,30,23,0.7667,0,0,3,0,0,0,11,0,0,0,9,0,0,11,0.4783,0.3913
2822802,133100,CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.,TÉCNICO,2023-10-02,2025-01-18,2023,10,4,2208,1344,864,DIURNA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,30,28,0.9333,0,0,7,0,0,2,6,0,0,0,13,0,0,8,0.2857,0.4643
